标题,分类ID,内容,关键词,来源链接
2026级萌新指南 | 校园网入门指南，助你轻松上网！,3,"2.官网访问：进入燕山大学官网https://www.ysu.edu.cn，点击顶栏“实名认证”图标，也可直达校园网实名认证系统。
重要
提示
连接网络前请关闭VPN、游戏加速器等软件，待校园网认证成功后再使用。
网络安全小贴士：请大家打开网页时，注意甄别网址是否正确，谨防伪造！
校园网实名认证系统网址:
https://auth1.ysu.edu.cn
三
校园网自助服务
校园网自助服务供同学们自助办理各项校园网络业务，例如：绑定运营商、流量查询、管理在线设备、网络问题报修等。
校园网自助服务界面
校园网自助服务系统入口
1.网址访问：校园网自助服务系统网址:
https://auth1.ysu.edu.cn/self 。
2.实名认证登录页面快捷入口：
实名认证登录页面也可快捷进入自助服务：
登录页面右上角
认证成功右上角
网络安全小贴士：请大家打开网页时，注意甄别网址是否正确，谨防伪造！
校园网自助服务网址:
https://auth1.ysu.edu.cn/self
四
免费流量有多少
校园网流量套餐现行规定：学生享受60GB/月的免费流量以供科研学习。每个账号最多可支持4台设备同时认证使用。",,
2026级萌新指南 | 校园网入门指南，助你轻松上网！,3,"可以在自助服务→我的套餐中查看套餐，在自助服务→历史明细中查看流量使用明细。
自助服务-查套餐和流量明细
重要
提示
流量加油包不支持购买，目前仅可通过参加活动免费获取。
五
运营商流量
除了学校免费提供的校园网流量，大流量用网需求的同学们也可遵循自愿原则，按需自行购买并办理运营商提供的宽带网络服务，宽带具体资费请咨询各运营商营业厅。办理后需要在自助服务→运营商管理中完成账号绑定。
绑定方式
在自助服务→运营商管理，按提示输入运营商提供的宽带账号和密码，绑定成功后回到登录页面，选择对应的运营商服务即可使用宽带流量。
自助服务-运营商管理
重要
提示
运营商宽带网络套餐办理前必看！
1. 校园网免费流量是学校为所有在校师生免费提供的网络服务，不需申请办理和激活，与运营商提供的网络无关，只是两者入网认证方式一致；运营商宽带网络非必须办理业务，区别于校园网，运营商网络是由运营商公司提供的服务，请同学们根据自身用网需求前往营业网点办理。",,
2026级萌新指南 | 校园网入门指南，助你轻松上网！,3,"2.在使用中如有任何问题，联通用户请拨打电话：0335-8503624或加微信：L8503624处理，电信用户请拨打电话：0335-5810000处理，移动用户请拨打电话：13903341860或13731771414处理。
3.绑定时需要的密码由运营商方提供，忘记此密码请联系运营商。
4. 教学区无线网络只提供校园网服务，宿舍区、图书馆提供校园网及运营商服务。
5.同时受运营商宽带上网模式限制，每一个运营商宽带账号同一时间只能在一台设备上登录，所以如果你同时有2~4台设备都需要上网，那么仅有一台可以选择运营商宽带网络，其余几台可以选择使用校园网服务。
为保障网络的通畅，宿舍不允许私接路由器，不然自己和周围宿舍同学们的网络可能都会受到影响甚至不能使用。校园无线覆盖区域杜绝使用个人无线路由器及随身Wi-Fi等设备！同时也不建议同学们随意修改个人设备上的网络配置，以免导致网络故障。
咨询电话
0335-8057072
END
编 辑 | 小 T
复 审 | 曾 涛
终 审 | 杨永涛",,
2026级萌新指南 | 一卡在手，畅行燕园,3,"迎新指南
2026
校园一卡通
本期导图
校园一卡通简介
账号与初始密码
充值与圈存
门禁授权与校车乘坐
自助服务终端介绍
自助补卡机介绍
人工服务大厅介绍
一
校园一卡通简介
校园一卡通，简称“校园卡”(勿将其与运营商手机卡混淆)，无需办理，开学后会直接统一分发到同学们手中。
校园卡外观（颜色略有区别）
校园卡就是校园里的“身份证“，一卡在手，尽享食堂消费、浴室洗澡、门禁授权、校车乘坐、图书借阅等多样功能。
二
账号与初始密码
账号：学号
初始密码：身份证号码的后6位，如果身份证最后一位为字母X，则用数字1代替。
重要
提示
校园卡的密码与统一身份认证密码不同，单独设置，单独管理，为避免密码被盗，保证卡内资金安全，领到校园卡后请尽快到自助服务终端（下拉本推文可了解自助服务终端）上进行修改。如果忘记密码，需本人持校园卡并携带身份证等有效身份证件前往信息技术中心综合服务大厅（东校区原图书馆106）找回密码。
三
充值与圈存
校园卡充值方式有两种，可根据个人需求选择合适的方式：
方式一：线上微信充值（需线下圈存）
1.关注“燕山大学信息技术中心”公众号。
2.选择底部服务栏“线上服务”→“一卡通服务”。
3.认证绑定。
4.选择“余额充值”。",,
2026级萌新指南 | 一卡在手，畅行燕园,3,"5.选择充值金额在线支付，注意充值有效时段：06:00-22:00。
6.充值后，页面会有“待圈存”字样，需前往线下圈存，充值金额才能成功写到卡户上。
重要
提示
由于浴池终端机器不支持微信充值直接写卡功能，所以微信充值后，一定要先按下文方式圈存再去洗澡！
微信充值的圈存方式
圈存方式一：食堂POS机
充值后，将卡片贴在卡机感应区内，等待5s左右，会自动将已充值金额写到校园卡中，同时扣除本次消费金额。
圈存方式二：自助服务终端
将校园卡放入感应区内，点击首页的“领款服务”→“领取转账金额”，等待系统提示“领取转账金额成功”后即可。
圈存方式三：贴值机
将校园卡贴在感应区内，等待5s左右，待机器显示微信充值金额后即完成领取。
方式二：线下自助机充值（不需进行圈存）
可以使用自助服务终端的银行服务-银校转账功能进行充值。",,
2026级萌新指南 | 一卡在手，畅行燕园,3,"温馨提示：使用自助服务终端充值时，需本人持有一张工商银行或农业银行的银行卡（必须为秦皇岛本地卡），并先在自助服务终端上将银行卡与校园卡绑定。完成绑定后，可直接在自助服务终端上进行转账充值。如银校转账未及时到账，可在自助服务终端转账页面补写转账金额或者到信息技术中心综合服务大厅（东校区原图书馆106）补写转账金额。
线上微信充值随时随地都可充值，方便快捷，但持卡消费前需到卡机上进行圈存；
线下自助机充值不需再行圈存，但需要提前绑定本地的银行卡。
四
门禁授权与校车乘坐
门禁授权
所有在校师生都可通过刷卡进出学校闸机和图书馆（门禁刷脸权限待入学后由学校统一安排采集数据并开通）
校车乘坐
乘坐校车，学生刷卡支付单次0.8元，比线上支付更优惠。
五
自助服务终端介绍
分布位置
东校区：原图书馆一楼大厅自助服务区、世纪楼一楼大厅、中快餐厅一楼东西两侧，燕鸣湖餐厅西侧、教工食堂一楼、清真食堂一楼、浴池。
西校区：大食堂一楼工商银行自助服务大厅、大食堂三楼东、燕园餐厅、浴池。
详细功能介绍
请点击下方标题跳转往期推文↓
校园一卡通篇之什么是自助服务终端？
六
自助补卡机介绍
分布位置
东校区：原图书馆一楼大厅自助服务区",,
2026级萌新指南 | 一卡在手，畅行燕园,3,"西校区：大食堂一楼工商银行自助服务大厅
重要
提示
1.支持支付宝付款，点击屏幕上小圆圈即可选择对应支付方式（付款码显示后请尽快付款，以防出卡失败）；
2.如果使用银行卡支付，要确保在自助服务终端上完成了校园卡与银行卡的绑定，补卡前请确保银行卡余额大于10元(若支付失败，建议先检查是否卡内余额不足，或更换支付宝付款方式支付)；
3.新补办的校园卡密码不变，余额为零，三天后请到圈存机或食堂POS机刷卡领取原卡余额；
4.补卡三分钟后，校园卡的消费功能即可生效，可充值后进行金融消费；次日门禁功能方可生效，可在图书馆、校门等门禁场所刷卡进出；
5.若付费成功后未出卡，请勿重复支付，请于工作时间拨打0335-8066334咨询处理；
6.目前自助补卡机只可补办学生卡，教工卡、消费卡和门禁卡暂时不能补办。除学生外，如有补卡需求，请到信息技术中心综合服务大厅（东校区原图书馆106）进行人工补办；
卡丢失处理方式详解
请点击下方标题跳转往期推文↓
卡丢了怎么办？
七
人工服务介绍
在使用校园卡的过程，如遇到任何问题，都可拨打咨询电话或前往信息技术中心综合服务大厅人工解决。
位置
东校区原图书馆106室
咨询电话",,
2026级萌新指南 | 一卡在手，畅行燕园,3,"0335-8066324、8066334
邮箱
card@ysu.edu.cn
下期精彩继续
END
编 辑 | 小 T
复 审 | 陈 飞
终 审 | 杨永涛",,
2026级萌新指南 | 今日校园账号已开放激活！快来获取你的专属学号！,3,"迎新指南
2026
今日校园
一网通办
本期导图
今日校园
一网通办
统一身份认证与新生账号激活
一
移动端
今日校园APP
今日校园APP是一款移动端官方服务运营平台，它就像一个贴心的校园生活小管家，将校内诸多应用集于一身，为同学们提供一站式便捷服务。
下载与登录
只需微信扫描上方二维码即可下载，打开APP后，选择学校“燕山大学”，登录方式选择“学工号登录”，使用统一身份认证登录。
1.打开APP
2.选择学校
3.激活并登录
重要
提示
新生首次登录需下拉本推文页面至“三、统一身份认证与新生账号激活”部分，获取账号激活方式与激活服务开通日期
功能介绍
1. 迎新服务：登录完成后，点击底部【服务】按钮，进入到服务中心，选择“迎新服务”，可以进行报到前的信息采集、到站登记、在线选手机号等操作，让报到流程更加顺畅高效。报到当天，出示“今日校园”生成的迎新二维码进行扫码报到。
2. 新生缴费：进入“新生缴费”模块，选择缴费项目，就能轻松完成学费、住宿费等费用的缴纳，再也不用担心排队缴费的烦恼啦。
3. 日常服务：除了入学迎新，还有课程表查询、体育馆场地预约、学工服务等丰富多样的日常服务功能，等待你慢慢探索发现。
二
PC端
一网通办平台",,
2026级萌新指南 | 今日校园账号已开放激活！快来获取你的专属学号！,3,"一网通办平台可以看作是今日校园APP的PC版，它集成了学校服务事项清单，致力于实现师生办事“只进一扇门”“最多跑一次”的目标，是校园服务的“百宝箱”。
访问方式
电脑端直接登录燕山大学一网通办平台（https://ehall.ysu.edu.cn），就能开启便捷服务之旅。
功能介绍
1. 教务服务：选课、退课、成绩查询、课表打印等教务相关事务，在这里都能轻松搞定。
2. 证明开具：在校证明、成绩单、四六级成绩证明等电子版文件，都能在这里快速下载，方便又快捷。
3. 日常服务：体育馆场地预约、个人邮箱申请、邮箱密码找回、学工服务、教务服务等日常服务功能也都在此。
三
认证登录
统一身份认证与新生账号激活
什么是统一身份认证？
登录认证大家都不陌生，平时使用各大应用通常都需要输入用户名和密码进行登录认证。但是每登录一个系统都要注册一套新的账号、密码，实在让人头大。因此，为了方便师生便捷地访问校内各系统应用，学校采用了统一身份认证。统一身份认证就像一把万能钥匙，只需一个账号和密码，就能轻松登录校内多个系统，让你的校园生活更加便捷高效。",,
2026级萌新指南 | 今日校园账号已开放激活！快来获取你的专属学号！,3,"统一身份认证的登录页面如上图所示，今日校园APP、一网通办平台、校园网上网认证还有今后经常访问的教务系统、图书馆数据库等都是用统一身份认证来登录的。
新生账号激活与密码获取
新生统一身份认证账号激活服务目前已正式开放，首次登录时，请点击“账号激活”，使用录取通知书号（通知书内页右上角9位数字）或学号（若已知学号）及其他个人身份信息完成信息校验，按照步骤提示生成个人密码。激活成功后，你将收到包含个人学号（12位数字）的短信，之后统一身份认证的账号就是你的个人学号，密码保持不变，仍为激活时个人设置的密码。
忘记密码怎么办
如果不小心忘记了密码，别着急！点击统一身份认证页面中的“忘记密码”，即可通过手机号找回。如果绑定了邮箱，也可以使用邮箱重置密码。
特别
提示
想要换手机号的同学，旧号废弃前一定要记得提前换绑手机号哦！
换绑路径：登录今日校园→我的→通用设置→账号设置
若以上方式都不可用，继续点击“账号申诉”，填写个人信息后等待人工审核处理。
咨询电话
0335-8051283
END
编 辑 | 小 T
复 审 | 陈 飞
终 审 | 杨永涛",,
新生必读！这份今日校园APP操作指南请查收 ！ | 新生抢先看,3,"2026级新同学们
你们好呀
本期新生抢先看
小编将为大家介绍
今日校园APP
常用功能及新生迎新服务
快来一起看看吧！
一、今日校园APP简介
“今日校园”是服务燕大学生的官方移动交流服务APP，聚集校内各种服务功能，能够为全校师生提供更加便捷的学习、生活、工作环境，从此开启您指尖上的校园生活。
二、注册使用方法
（1）扫描二维码进行下载👇👇👇；
（2）打开今日校园，选择学校“燕山大学”👇👇👇；
（3）选择“学工号登录”👇👇👇；
（4）使用学校统一身份认证账号登录：首次登录，请点击“账号激活”，使用录取通知书号或考生号及其它个人身份信息完成信息校验，按步骤提示生成个人密码。激活成功后，将以短信的方式告知个人学号(12位数字)，之后统一身份认证的账号为个人学号，密码不变，仍为激活时个人设置的密码。
三、版块及主要功能
今日校园“服务”版块，是燕大学子最常用的版块。
01
“迎新服务”版块
请新同学们在入学报到前登录今日校园APP，在“迎新服务”中完成学费住宿费在线缴纳、信息采集、到站登记等操作，并查询自己的宿舍号和床位号、辅导员等相关信息。
02
“公共服务”版块",,
新生必读！这份今日校园APP操作指南请查收 ！ | 新生抢先看,3,"公共服务版块为师生提供综合支付、系统操作、日程管理、活动预约及各类事务办理服务 。
“公共服务” 中的“图书馆座位预约”便利同学们掌上预约座位，提高学习效率。
“公共服务” 中的“班车服务”方便同学们查看东、西校区班车时间表，合理规划时间出行。
03
“学工服务”版块
学工服务聚焦学生在校事务，涵盖个人发展、宿舍管理、奖惩、信息及日常生活服务，助力学生校园生活管理与成长 。
奖学金可以查看自己奖学金的审批和到账情况。
学生基本信息中，可以填写自己的相关信息，进行记录，方便查询。
综合测评系统用于开展每学期的综合素质评估工作。
04
“教务服务”版块
“教务服务”中包含“劳动实践课平台”和“本科教务”，与我们的学习生活息息相关。
同学们可在“劳动实践课平台”查看已获得的劳动时长。
“本科教务”，设有成绩查询、学生评教、考试安排、缓考申请、全校课表查询、学业完成情况功能，方便日常学习使用。
同学们可在此页面查看自己本学期的课表。
05
“信息服务”版块
“我的校园卡”可查看校园卡余额、卡号与每月消费。支持查询消费流水、实时交易记录，卡片丢失可线上挂失补办。
充值、对账、卡务问题，手机上就能快速处理。
今天给大家带来的",,
新生必读！这份今日校园APP操作指南请查收 ！ | 新生抢先看,3,"今日校园APP
部分功能指南介绍
到这里就结束啦
里面还有超多服务功能
期待大家的探索~
如果仍有疑问可以关注
微信公众号“燕山大学学生工作处”
欢迎大家随时向我们提问
策划：杨泽
编辑：赵美婷",,
燕山大学2026考生问答,1,"一、燕山大学2026年招生计划如何？
燕山大学2026年面向北京、天津、河北、黑龙江等全国30个省（自治区、直辖市）招收本科生，其中含普通文理、艺术、体育、少数民族预科班、国家专项计划、地方专项计划、中外合作办学等类别。
二、2026年本科招生专业变化的特点有哪些？
2026年新增三个招生专业，包括人工智能、大数据管理与应用、通信工程。部分专业继续实行“专业类”招生模式。2026年学校实行9组专业类招生，包含了23个专业。大类招生学生入校后接受一年的通识教育，后期专业类内分流接受专业教育。按照专业类招生的专业有
机械类含:机械设计制造及其自动化、智能制造工程；
材料类含:金属材料工程、无机非金属材料工程、高分子材料与工程、材料物理；
工商管理类含:工商管理、会计学、旅游管理；
外国语言文学类含:英语、翻译；
土木类含:土木工程、建筑环境与能源应用工程；
公共管理类含:公共事业管理、行政管理；
化工与制药类含:化学工程与工艺、生物工程、能源化学工程；
能源动力类含:能源与动力工程、石油工程；
设计学类含:产品设计、视觉传达设计、环境设计。
三、燕山大学师资情况如何？",,
燕山大学2026考生问答,1,"学校师资力量雄厚，现有教职工约3200人，包含专职教师约2200人，其中，教授538人，副教授925人。教师中含博士生导师551人。有中国科学院院士1人，中国工程院院士1人，国务院学科评议组成员1人，国家杰出青年、优秀青年科学基金获得者30人，另有其他类国家级高层次人才入选者24人次、国家级青年人才入选者12人。
四、燕山大学有哪些重点学科、专业？",,
燕山大学2026考生问答,1,"拥有5个国家重点学科、5个国防特色学科和16个省级重点学科，工程学、材料科学、化学、计算机科学、环境科学与生态学、物理学等6个学科进入ESI排名全球前1%，其中工程学学科排名已进入全球前1‰。学校设有12个博士后流动站，14个博士学位一级学科，3个博士专业学位类别，30个硕士学位一级学科，19个硕士专业学位类别，62个本科专业，其中国家级一流本科专业34个：机械设计制造及自动化、自动化、材料成型及控制工程、测控技术与仪器、金属材料工程、无机非金属材料工程、电气工程及其自动化、电子信息工程、电子科学与技术、过程装备与控制工程、计算机科学与技术、化学工程与工艺、行政管理、旅游管理、高分子材料与工程、材料物理、软件工程、车辆工程、工业设计、应用化学、应用物理学、土木工程、工商管理、会计学、汉语言文学、英语、法学、信息与计算科学、公共事业管理、建筑环境与能源应用工程、大数据管理与应用、环境工程、生物工程、产品设计。
五、燕山大学在学科评估成绩如何？
在教育部第五轮学科评估中取得突破性进展，机械工程、材料科学与工程两个学科跻身中国高校第一方阵，部分学科实现跨级提升。
六、燕山大学在全国高校中排名如何？",,
燕山大学2026考生问答,1,"在校友会2025年中国大学排名中位列全国第61位，在软科2025年中国大学排名中位列第112位，在武书连2025年中国大学排行榜中位居第110位。
七、填报燕山大学专业志愿需要注意哪些问题？
第一，考生应该充分了解我校学科、专业设置的基本情况，各专业的学科内容、发展趋势；
第二，应根据自己的兴趣、爱好及特长选报适合自己的专业；
第三，应准确了解我校当年在该省各专业招生计划数，可参考我校近几年各专业的录取分数，正确估计自己的实力，同时，填报志愿应注意从高分专业到低分专业顺序排列；
第四，对于“是否服从调剂”志愿一栏，建议考生选填“服从”，这样可增加被我校录取的机会；
第五，考生还需特别注意，部分专业对体检结果有明确限制。舞蹈表演专业建议男生身高1.75米以上，女生身高1.68米以上报考。社会体育指导与管理专业建议男生身高1.75米以上，女生身高1.65米以上报考。
八、燕山大学是否存在专业级差？
我校对进档考生按分数优先原则依次分配专业，不设专业级差。
九、如何执行相关加分政策？
燕山大学认可各省（直辖市、自治区）根据教育部有关文件制定的全国性高考加分优惠政策。
十、考生体检方面要求？",,
燕山大学2026考生问答,1,"考生体检方面，学校参照教育部、卫生部、中国残联印发的《普通高等学校招生体检工作指导意见》（教学[2003]3号）及其有关补充规定执行。结合学校招生专业具体说明如下：
1.符合指导意见中第一部分的考生，学校不予录取。
2.符合指导意见中第二部分第一条，轻度色觉异常（俗称色弱）不能录取的专业有：以颜色波长作为严格技术标准的化学类、化工与制药类、生物工程、环境工程、高分子材料与工程、过程装备与控制工程、运动训练等专业。
3.符合指导意见中第二部分第二条，色觉异常II度（俗称色盲）不能录取的专业有：除同轻度色觉异常外，还包括美术学、绘画、艺术设计、摄影、应用物理学、材料物理、冶金工程、无机非金属材料工程、交通运输、油气储运工程等专业。
4.符合指导意见中第二部分第三条，不能准确识别红、黄、绿、兰、紫各种颜色中任何一种颜色的导线、按键、信号灯、几何图形者不能录取的专业有：除同轻度色觉异常、色觉异常II度两类列出专业外，还包括经济学类、管理科学与工程类、工商管理类、公共管理类等专业。不能准确在显示器上识别红、黄、绿、兰、紫各颜色中任何一种颜色的数码、字母者不能录取到计算机科学与技术等专业。",,
燕山大学2026考生问答,1,"十一、燕山大学“卓越工程师教育培养计划”如何招生？
燕山大学是教育部批准的全国首批实施“卓越工程师教育培养计划”（简称“卓越计划”）的61所高校之一。“卓越计划”是贯彻落实《国家中长期教育改革和发展规划纲要》精神，深化教育教学改革、推进我国从工程教育大国迈向工程教育强国的重大举措。“卓越计划”的培养目标是着力提升学生的工程素养，着力培养学生的工程实践能力、工程设计能力和工程创新能力。
燕山大学“卓越计划”按照机械设计制造及其自动化、自动化、电子信息工程、车辆工程、生物工程五个专业招生。学制四年，原则上按照“3+1”模式实施，即在校累计学习3年，在企业累计实习和实践1年。采用高校与企业联合培养模式，学生在校期间将有机会到大型企业进行实习学习，毕业后就业前景良好。
十二、燕山大学在河北省如何招收“国家专项”和“地方专项”考生？
“国家专项”全称为国家贫困地区定向招生专项计划，定向招收国家划定的集中连片特困县、国家扶贫开发工作重点县学生，招生批次为本科提前批B，我校2026年招生计划为132人；",,
燕山大学2026考生问答,1,"“地方专项”全称为地方重点高校招收农村学生专项计划，定向招收河北省实施区域的农村学生，招生批次为本科批的地方专项计划，我校2026年招生计划为180人。
十三、燕山大学少数民族预科班如何招生？
燕山大学2026年继续在河北省招收少数民族预科生。凡河北省生源的少数民族考生均可报考少数民族预科班，按国家政策录取，并按河北省招委政策进行预科培养。
预科生学习五年。第一年在河北师范大学附属民族学院进行预科阶段培养，预科阶段不分专业，主要学习高中与大学衔接课程。预科期满，根据其综合成绩分配专业后转入燕山大学相应专业进行四年本科阶段培养，与燕山大学同年录取新生一起在校学习。
十四、燕山大学考生入学后是否可以转专业？
为发挥学生的爱好和特长，提高学生的社会竞争力，本着以学生为本、因材施教的原则，燕山大学全日制普通本科生（除特殊类型招生外）可在第二学年开学初向所在学院提交转专业申请，拟转入专业按学生的兴趣和特长进行考核，择优转入。详细内容请参考燕山大学网站《燕山大学本科生转专业管理办法》。
十五、燕山大学历年录取分数线如何查询？",,
燕山大学2026考生问答,1,"查询普通类、艺术类、体育类等历年分数，可进入网址“燕山大学——招生就业——本科生招生网——历年分数”查询，也可通过微信小程序“燕山大学招生办”查询。
十六、在校期间学生出国交流学习的机会多吗？
燕山大学积极推进教育对外开放，构建高质量全球核心伙伴关系网络，与30多个国家和地区的130余所国（境）外高水平大学和科研机构建立了友好合作关系，在中外合作办学、师生交流、科学研究等方面开展长期、广泛的合作。学校积极响应国家“一带一路”倡议，全面实施国际化发展战略，致力于培养更多具有“家国情怀、国际视野和全球竞争力”的国际化人才，不断提升学校国际影响力和教育对外开放水平。
十七、收费如何？
各专业学费标准详见各省（自治区、直辖市）公布的招生计划书。
文科类、管理类专业5060元/年。
理工类、外国语言文学类专业：5390元/年。
艺术类、体育类8000元/年；
软件工程专业10000元/年；
工业工程（中外合作办学）国内：25500元/年。国外：约42069澳元/年（约合人民币200000元）。
欧洲学院国内5390元/年，波兰校区8000欧元/年；
西里西亚智能科学与工程学院72000元/年；",,
燕山大学2026考生问答,1,"十八、燕山大学就业升学情况？
燕山大学是教育部“全国高校毕业生就业能力培训基地”，是人社部全国大中城市招聘高校毕业生巡回站点唯一高校站点。被教育部授予全国“就业典型经验高校”称号，并荣获教育部“全国大学生就业最佳企业评选优秀组织高校奖”。
学校开发联系用人单位8000余家，来校招聘单位涵盖制造业、建筑业、金融业、教育业、国家机关、党政机关和社会团体等90余个细分行业领域，就业岗位涉及全国31个省、自治区和直辖市。学校年均发布招聘信息1.5万条，组织举办校园招聘会1000余场，招聘单位近3000家次，提供就业岗位27万余个，为保障毕业生好就业、就好业奠定了坚实基础。中国中车集团、中国航天科技集团、中国第一重型机械集团等重点单位每年定期来校组团招聘。
学校毕业生毕业去向落实率保持在85%以上，本科生升学率保持在35%以上，毕业生到国家重点地区、重大工程、重大项目和重要领域就业达82%以上，到党政机关、事业单位、国有企业、军队就业占比超55%。用人单位和毕业生对学校就业工作的满意度均保持在97%以上的高位。",,
